Currency,Date,Buy Rate,Sell Rate,,,
,,,,,,
CAD,2023-12-29,239.3962,250.1433,,,
CAD,2023-12-28,239.9818,250.8671,,,
CAD,2023-12-27,241.0423,251.7976,,,
CAD,2023-12-22,240.1454,250.8087,,,
CAD,2023-12-21,239.3142,249.7472,,,
CAD,2023-12-20,239.746,250.2019,,,
CAD,2023-12-19,238.7891,249.3898,,,
CAD,2023-12-18,239.0233,249.5865,,,
CAD,2023-12-15,238.7176,249.3129,,248.4042105,249.3129
CAD,2023-12-14,237.4785,247.9763,,,
CAD,2023-12-13,235.0616,245.7378,,,
CAD,2023-12-12,235.8688,246.5957,,,
CAD,2023-12-11,234.842,245.6078,,,
CAD,2023-12-08,235.3877,245.9738,,,
CAD,2023-12-07,234.9839,245.8708,,,
CAD,2023-12-06,236.1918,246.8713,,,
CAD,2023-12-05,236.7799,247.4955,,,
CAD,2023-12-04,237.3796,248.0097,,,
CAD,2023-12-01,236.7197,247.6863,,,
CAD,2023-11-30,236.0276,247.1353,,,
CAD,2023-11-29,237.7062,248.558,,,
CAD,2023-11-28,236.5253,247.4057,,,
CAD,2023-11-27,235.3374,246.3308,,,
CAD,2023-11-24,234.3183,245.2776,,,
CAD,2023-11-23,234.8175,245.5524,,,
CAD,2023-11-22,234.396,245.1161,,,
CAD,2023-11-21,233.9158,244.6314,,,
CAD,2023-11-20,234.0235,244.7272,,,
CAD,2023-11-17,233.166,244.1406,,,
CAD,2023-11-16,234.384,245.0543,,244.6255273,244.7675
CAD,2023-11-15,234.1659,244.7675,,,
CAD,2023-11-14,231.5369,242.2463,,,
CAD,2023-11-13,231.5571,242.2595,,,
CAD,2023-11-10,232.0512,242.7982,,,
CAD,2023-11-09,232.7371,243.5208,,,
CAD,2023-11-08,232.7526,243.4314,,,
CAD,2023-11-07,233.0368,243.8391,,,
CAD,2023-11-06,235.5723,246.5171,,,
CAD,2023-11-03,233.9205,244.7047,,,
CAD,2023-11-02,231.7819,242.4388,,,
CAD,2023-11-01,230.7635,241.3088,,,
CAD,2023-10-31,231.1934,241.8172,,,
CAD,2023-10-30,230.8495,241.3691,,,
CAD,2023-10-27,231.3343,241.9533,,,
CAD,2023-10-26,231.0806,241.8115,,,
CAD,2023-10-25,232.586,243.6214,,,
CAD,2023-10-24,233.1056,243.9762,,,
CAD,2023-10-23,231.9292,242.9977,,,
CAD,2023-10-20,231.5493,242.5947,,,
CAD,2023-10-19,231.1215,241.7732,,,
CAD,2023-10-18,232.2715,243.3253,,242.5947545,242.6827
CAD,2023-10-17,232.1266,243.2026,,,
CAD,2023-10-16,231.6569,242.6827,,,
CAD,2023-10-13,230.9616,241.9634,,,
CAD,2023-10-12,232.6685,243.6157,,,
CAD,2023-10-11,232.5295,243.5596,,,
CAD,2023-10-10,232.6597,243.5823,,,
CAD,2023-10-09,231.7462,242.6323,,,
CAD,2023-10-06,230.7709,241.6042,,,
CAD,2023-10-05,230.4078,241.4517,,,
CAD,2023-10-04,230.5574,241.4712,,,
CAD,2023-10-03,231.2299,242.0987,,,
CAD,2023-10-02,233.0579,243.9806,,,
CAD,2023-09-27,233.8822,244.823,,,
CAD,2023-09-26,235.2171,246.2671,,,
CAD,2023-09-25,234.9084,245.9485,,,
CAD,2023-09-22,234.8963,246.118,,,
CAD,2023-09-21,235.0283,246.3317,,,
CAD,2023-09-20,235.2038,246.8747,,,
CAD,2023-09-19,234.5873,246.1642,,,
CAD,2023-09-18,233.3029,244.8381,,,
CAD,2023-09-15,233.5099,245.1659,,244.0832158,245.1659
CAD,2023-09-14,233.4376,245.1001,,,
CAD,2023-09-13,232.0726,243.6033,,,
CAD,2023-09-12,231.6972,243.1767,,,
CAD,2023-09-11,230.7125,242.2267,,,
CAD,2023-09-08,229.987,241.6301,,,
CAD,2023-09-07,230.3069,242.1296,,,
CAD,2023-09-06,229.8971,241.6295,,,
CAD,2023-09-05,229.8344,241.5298,,,
CAD,2023-09-04,229.5591,241.2646,,,
CAD,2023-09-01,231.0543,242.7595,,,
CAD,2023-08-31,231.1421,243.031,,,
CAD,2023-08-29,232.4763,243.9225,,,
CAD,2023-08-28,232.4904,244.057,,,
